event_name,location,transaction_id,transaction_date,category,description,paid_by,total_amount_inr,split_type,number_of_people_in_split,split_between,split_details
TechFusion 2026 - Inter College Fest,"Mumbai, India",86578dda-0b52-4ad9-8f21-2c06edad9e32,2026-01-10,Accommodation,Sponsorship Expense expense for fest operations,Mumtaz Begum,9643.63,unequal_percentage,10,Ayaan Khan|Sachin Tendulkar|Urvashi Rautela|Reyansh Gupta|Alka Yagnik|Anjali Soni|Anjali Soni|Balram Yadav|Varun Bansal|Pallavi Shah,"{'Ayaan Khan': 2409.65, 'Sachin Tendulkar': 1209.32, 'Urvashi Rautela': 664.02, 'Reyansh Gupta': 171.5, 'Alka Yagnik': 56.34, 'Anjali Soni': 1576.16, 'Balram Yadav': 19.26, 'Varun Bansal': 1895.98, 'Pallavi Shah': 157.7}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",a5f182cd-818e-43d5-a5f9-f15edc5c9e27,2026-01-13,Printing & Merchandise,Accommodation expense for fest operations,Lakshmi Nambiar,5141.57,unequal_percentage,6,Balram Yadav|Meera Krishnan|Shreya Ghoshal|Udit Narayan|Aanya Singh|Kavita Krishnamurthy,"{'Balram Yadav': 560.1, 'Meera Krishnan': 1090.19, 'Shreya Ghoshal': 938.26, 'Udit Narayan': 217.42, 'Aanya Singh': 1518.94, 'Kavita Krishnamurthy': 816.65}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",38855b0c-1908-44e6-a3a2-8e457e011f62,2026-01-11,Transport,Equipment Rental expense for fest operations,Shahid Kapoor,6534.56,unequal_percentage,12,Pihu Verma|Mumtaz Begum|Mira Rajput|Sachin Tendulkar|Kiara Advani|Atharva Joshi|Sunidhi Chauhan|Ayaan Khan|Saanvi Gupta|Taapsee Pannu|Pooja Bhattacharya|Kavita Krishnamurthy,"{'Pihu Verma': 190.89, 'Mumtaz Begum': 249.86, 'Mira Rajput': 629.96, 'Sachin Tendulkar': 1190.79, 'Kiara Advani': 102.65, 'Atharva Joshi': 1100.28, 'Sunidhi Chauhan': 1165.57, 'Ayaan Khan': 133.32, 'Saanvi Gupta': 888.03, 'Taapsee Pannu': 736.12, 'Pooja Bhattacharya': 20.1, 'Kavita Krishnamurthy': 127.0}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",a1391bc9-6c4a-46fa-83d3-479382b85c9e,2026-01-15,Stage & Production,Equipment Rental expense for fest operations,Meera Krishnan,4813.59,unequal_percentage,15,Anjali Soni|Vijaya Balan|Mumtaz Begum|Kiara Advani|Kunal Khanna|Bharti Gill|Paresh Rawal|Preetam Chakraborty|Armaan Malik|Dev Anand|Pallavi Shah|Priya Rao|Mumtaz Begum|Diljit Dosanjh|Pooja Bhattacharya,"{'Anjali Soni': 102.55, 'Vijaya Balan': 196.57, 'Mumtaz Begum': 53.07, 'Kiara Advani': 383.71, 'Kunal Khanna': 359.21, 'Bharti Gill': 495.54, 'Paresh Rawal': 37.87, 'Preetam Chakraborty': 387.02, 'Armaan Malik': 333.14, 'Dev Anand': 564.94, 'Pallavi Shah': 104.3, 'Priya Rao': 636.53, 'Diljit Dosanjh': 123.11, 'Pooja Bhattacharya': 394.22}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",61b81805-7489-4e13-b479-6662b5e70526,2026-01-14,Food & Catering,Food & Catering expense for fest operations,Sunidhi Chauhan,9415.96,unequal_percentage,11,Saanvi Gupta|Lokesh Rahul|Kiara Advani|Divya Mukherjee|Priya Rao|Armaan Malik|Taapsee Pannu|Urvashi Rautela|Mumtaz Begum|Leena Chandavarkar|Bharti Gill,"{'Saanvi Gupta': 1739.29, 'Lokesh Rahul': 380.08, 'Kiara Advani': 1332.68, 'Divya Mukherjee': 444.15, 'Priya Rao': 736.48, 'Armaan Malik': 1249.88, 'Taapsee Pannu': 558.23, 'Urvashi Rautela': 588.34, 'Mumtaz Begum': 1399.06, 'Leena Chandavarkar': 134.99, 'Bharti Gill': 852.77}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",edab54d2-0a11-4526-86d8-a9ee1db93e39,2026-01-14,Accommodation,Volunteer Expense expense for fest operations,Kavita Krishnamurthy,2131.55,unequal_percentage,6,Aanya Singh|Vivaan Mehta|Rahul Tiwari|Preetam Chakraborty|Bharti Gill|Reyansh Gupta,"{'Aanya Singh': 180.8, 'Vivaan Mehta': 277.99, 'Rahul Tiwari': 344.63, 'Preetam Chakraborty': 191.92, 'Bharti Gill': 624.17, 'Reyansh Gupta': 512.04}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",7f87b65c-0aa8-4778-a884-77437c38e624,2026-01-12,Marketing,After Party expense for fest operations,Renu Arora,9317.56,unequal_percentage,3,Enrique D'Cruz|Shreya Ghoshal|Pallavi Shah,"{""Enrique D'Cruz"": 1386.53, 'Shreya Ghoshal': 1285.72, 'Pallavi Shah': 6645.32}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",6e0b9f37-fc4f-4b0d-ab90-1bdb60f07c99,2026-01-10,Accommodation,Sponsorship Expense expense for fest operations,Vishal Dadlani,7176.12,unequal_percentage,5,Reyansh Gupta|Udit Narayan|Qasim Ali|Preetam Chakraborty|Sonu Nigam,"{'Reyansh Gupta': 674.0, 'Udit Narayan': 2437.46, 'Qasim Ali': 136.34, 'Preetam Chakraborty': 1702.39, 'Sonu Nigam': 2225.93}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",a90f8b16-61fb-4977-8232-a2ee2268e613,2026-01-10,Food & Catering,Transport expense for fest operations,Renu Arora,1308.21,equal,6,Udit Narayan|Shreya Ghoshal|Vishal Dadlani|Diljit Dosanjh|Leena Chandavarkar|Shahid Kapoor,"{'Udit Narayan': 218.03, 'Shreya Ghoshal': 218.03, 'Vishal Dadlani': 218.03, 'Diljit Dosanjh': 218.03, 'Leena Chandavarkar': 218.03, 'Shahid Kapoor': 218.03}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",4c356a55-b197-451a-b726-b4b6bcf09476,2026-01-14,Equipment Rental,After Party expense for fest operations,Kavita Krishnamurthy,360.29,unequal_percentage,7,Mumtaz Begum|Diljit Dosanjh|Balram Yadav|Myra Mehta|Yami Gautam|Divya Mukherjee|Vandana Luthra,"{'Mumtaz Begum': 80.63, 'Diljit Dosanjh': 71.4, 'Balram Yadav': 77.2, 'Myra Mehta': 80.62, 'Yami Gautam': 18.84, 'Divya Mukherjee': 22.38, 'Vandana Luthra': 9.22}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",6288f7f7-df83-4d80-9ad5-5309c1cb0b7a,2026-01-13,Accommodation,Transport expense for fest operations,Vandana Luthra,1545.54,equal,5,Sachin Tendulkar|Udit Narayan|Kunal Khanna|Atharva Joshi|Rishaan Nair,"{'Sachin Tendulkar': 309.11, 'Udit Narayan': 309.11, 'Kunal Khanna': 309.11, 'Atharva Joshi': 309.11, 'Rishaan Nair': 309.11}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",76cda292-0b6c-461a-8a71-96e8dc4f01e0,2026-01-13,Stage & Production,Stage & Production expense for fest operations,Varun Bansal,9244.87,equal,14,Vivaan Mehta|Yami Gautam|Urvashi Rautela|Balram Yadav|Sachin Tendulkar|Varun Bansal|Rishaan Nair|Saanvi Gupta|Myra Mehta|Leena Chandavarkar|Adnan Sami|Vandana Luthra|Ayaan Khan|Kunal Khanna,"{'Vivaan Mehta': 660.35, 'Yami Gautam': 660.35, 'Urvashi Rautela': 660.35, 'Balram Yadav': 660.35, 'Sachin Tendulkar': 660.35, 'Varun Bansal': 660.35, 'Rishaan Nair': 660.35, 'Saanvi Gupta': 660.35, 'Myra Mehta': 660.35, 'Leena Chandavarkar': 660.35, 'Adnan Sami': 660.35, 'Vandana Luthra': 660.35, 'Ayaan Khan': 660.35, 'Kunal Khanna': 660.35}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",576a04ca-438a-44e6-8756-1dcba257eb13,2026-01-13,Sponsorship Expense,Marketing expense for fest operations,Kavya Iyer,9184.52,equal,7,Vandana Luthra|Reyansh Gupta|Alka Yagnik|Anjali Soni|Preetam Chakraborty|Alka Yagnik|Varun Bansal,"{'Vandana Luthra': 1312.07, 'Reyansh Gupta': 1312.07, 'Alka Yagnik': 1312.07, 'Anjali Soni': 1312.07, 'Preetam Chakraborty': 1312.07, 'Varun Bansal': 1312.07}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",57277498-a28d-4d6c-b0a6-75774fad2592,2026-01-14,Stage & Production,Sponsorship Expense expense for fest operations,Sachin Tendulkar,694.22,unequal_percentage,14,Lakshmi Nambiar|Rahul Tiwari|Meera Krishnan|Mira Rajput|Anjali Soni|Meera Krishnan|Renu Arora|Kavita Krishnamurthy|Shreya Ghoshal|Enrique D'Cruz|Aanya Singh|Kavita Krishnamurthy|Shreya Ghoshal|Priya Rao,"{'Lakshmi Nambiar': 20.54, 'Rahul Tiwari': 110.7, 'Meera Krishnan': 83.79, 'Mira Rajput': 12.47, 'Anjali Soni': 49.98, 'Renu Arora': 36.07, 'Kavita Krishnamurthy': 29.29, 'Shreya Ghoshal': 81.51, ""Enrique D'Cruz"": 44.3, 'Aanya Singh': 66.31, 'Priya Rao': 0.19}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",82121619-868f-4021-995f-afab40533eef,2026-01-11,Equipment Rental,After Party expense for fest operations,Myra Mehta,699.75,unequal_percentage,12,Sonu Nigam|Shreya Ghoshal|Shahid Kapoor|Pihu Verma|Rahul Tiwari|Mumtaz Begum|Mira Rajput|Rahul Tiwari|Atharva Joshi|Renu Arora|Sonu Nigam|Anjali Soni,"{'Sonu Nigam': 99.75, 'Shreya Ghoshal': 83.42, 'Shahid Kapoor': 66.33, 'Pihu Verma': 22.95, 'Rahul Tiwari': 20.82, 'Mumtaz Begum': 45.36, 'Mira Rajput': 89.51, 'Atharva Joshi': 68.09, 'Renu Arora': 48.58, 'Anjali Soni': 36.36}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",e28e69ee-93ba-4807-b5e4-7f1a4538519f,2026-01-15,Food & Catering,Marketing expense for fest operations,Ayaan Khan,6547.06,equal,9,Vishal Dadlani|Shahid Kapoor|Shreya Ghoshal|Mira Rajput|Adnan Sami|Alka Yagnik|Atharva Joshi|Pooja Bhattacharya|Varun Bansal,"{'Vishal Dadlani': 727.45, 'Shahid Kapoor': 727.45, 'Shreya Ghoshal': 727.45, 'Mira Rajput': 727.45, 'Adnan Sami': 727.45, 'Alka Yagnik': 727.45, 'Atharva Joshi': 727.45, 'Pooja Bhattacharya': 727.45, 'Varun Bansal': 727.45}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",eb6aa3d5-7bba-4b3c-b544-98184f7c9cbf,2026-01-10,Accommodation,Stage & Production expense for fest operations,Saanvi Gupta,6638.54,equal,11,Pooja Bhattacharya|Paresh Rawal|Kavya Iyer|Vijaya Balan|Sunidhi Chauhan|Kiara Advani|Shahid Kapoor|Anjali Soni|Alka Yagnik|Myra Mehta|Ayaan Khan,"{'Pooja Bhattacharya': 603.5, 'Paresh Rawal': 603.5, 'Kavya Iyer': 603.5, 'Vijaya Balan': 603.5, 'Sunidhi Chauhan': 603.5, 'Kiara Advani': 603.5, 'Shahid Kapoor': 603.5, 'Anjali Soni': 603.5, 'Alka Yagnik': 603.5, 'Myra Mehta': 603.5, 'Ayaan Khan': 603.5}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",c719513c-d0ca-4b85-815b-c6dff356d3c3,2026-01-10,Equipment Rental,Stage & Production expense for fest operations,Adnan Sami,6112.74,equal,14,Lakshmi Nambiar|Pallavi Shah|Paresh Rawal|Diljit Dosanjh|Armaan Malik|Divya Mukherjee|Taapsee Pannu|Aanya Singh|Diljit Dosanjh|Vijaya Balan|Atharva Joshi|Anjali Soni|Reyansh Gupta|Balram Yadav,"{'Lakshmi Nambiar': 436.62, 'Pallavi Shah': 436.62, 'Paresh Rawal': 436.62, 'Diljit Dosanjh': 436.62, 'Armaan Malik': 436.62, 'Divya Mukherjee': 436.62, 'Taapsee Pannu': 436.62, 'Aanya Singh': 436.62, 'Vijaya Balan': 436.62, 'Atharva Joshi': 436.62, 'Anjali Soni': 436.62, 'Reyansh Gupta': 436.62, 'Balram Yadav': 436.62}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",29107f36-0b04-4793-adff-ba2f64e19a34,2026-01-14,Printing & Merchandise,Stage & Production expense for fest operations,Dev Anand,8041.1,unequal_percentage,13,Priya Rao|Diljit Dosanjh|Sunidhi Chauhan|Adnan Sami|Saanvi Gupta|Lokesh Rahul|Mumtaz Begum|Mira Rajput|Pallavi Shah|Pallavi Shah|Urvashi Rautela|Divya Mukherjee|Armaan Malik,"{'Priya Rao': 918.61, 'Diljit Dosanjh': 861.93, 'Sunidhi Chauhan': 592.38, 'Adnan Sami': 695.48, 'Saanvi Gupta': 488.08, 'Lokesh Rahul': 803.09, 'Mumtaz Begum': 529.75, 'Mira Rajput': 867.52, 'Pallavi Shah': 458.97, 'Urvashi Rautela': 250.62, 'Divya Mukherjee': 239.06, 'Armaan Malik': 616.56}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",ef2cc1f6-32c8-472d-a07a-bd8ed866f8c1,2026-01-15,Stage & Production,Food & Catering expense for fest operations,Kavya Iyer,4398.73,equal,13,Priya Rao|Kiara Advani|Rishaan Nair|Pooja Bhattacharya|Taapsee Pannu|Aanya Singh|Udit Narayan|Armaan Malik|Anjali Soni|Leena Chandavarkar|Mira Rajput|Vijaya Balan|Bharti Gill,"{'Priya Rao': 338.36, 'Kiara Advani': 338.36, 'Rishaan Nair': 338.36, 'Pooja Bhattacharya': 338.36, 'Taapsee Pannu': 338.36, 'Aanya Singh': 338.36, 'Udit Narayan': 338.36, 'Armaan Malik': 338.36, 'Anjali Soni': 338.36, 'Leena Chandavarkar': 338.36, 'Mira Rajput': 338.36, 'Vijaya Balan': 338.36, 'Bharti Gill': 338.36}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",08a3c1a6-7da2-4301-9132-b018a6d8e4d2,2026-01-14,Equipment Rental,Printing & Merchandise expense for fest operations,Paresh Rawal,4076.0,equal,10,Paresh Rawal|Paresh Rawal|Mumtaz Begum|Vivaan Mehta|Rahul Tiwari|Taapsee Pannu|Paresh Rawal|Vijaya Balan|Renu Arora|Mumtaz Begum,"{'Paresh Rawal': 407.6, 'Mumtaz Begum': 407.6, 'Vivaan Mehta': 407.6, 'Rahul Tiwari': 407.6, 'Taapsee Pannu': 407.6, 'Vijaya Balan': 407.6, 'Renu Arora': 407.6}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",2799ef48-dc91-49ca-95d3-61066efe497d,2026-01-13,Accommodation,Equipment Rental expense for fest operations,Preetam Chakraborty,9427.42,unequal_percentage,6,Sunidhi Chauhan|Paresh Rawal|Qasim Ali|Aanya Singh|Vivaan Mehta|Rahul Tiwari,"{'Sunidhi Chauhan': 1359.71, 'Paresh Rawal': 1855.91, 'Qasim Ali': 2020.71, 'Aanya Singh': 2268.15, 'Vivaan Mehta': 1233.42, 'Rahul Tiwari': 689.52}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",d1203203-967b-47cc-b950-8bdba5d4ab56,2026-01-10,Equipment Rental,Transport expense for fest operations,Kiara Advani,6688.74,equal,14,Mira Rajput|Kavita Krishnamurthy|Kiara Advani|Renu Arora|Paresh Rawal|Sonu Nigam|Yami Gautam|Shahid Kapoor|Renu Arora|Varun Bansal|Enrique D'Cruz|Pallavi Shah|Pihu Verma|Leena Chandavarkar,"{'Mira Rajput': 477.77, 'Kavita Krishnamurthy': 477.77, 'Kiara Advani': 477.77, 'Renu Arora': 477.77, 'Paresh Rawal': 477.77, 'Sonu Nigam': 477.77, 'Yami Gautam': 477.77, 'Shahid Kapoor': 477.77, 'Varun Bansal': 477.77, ""Enrique D'Cruz"": 477.77, 'Pallavi Shah': 477.77, 'Pihu Verma': 477.77, 'Leena Chandavarkar': 477.77}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",0f193305-c7c1-45ad-8be0-f38ea3485caf,2026-01-13,Marketing,Equipment Rental expense for fest operations,Sachin Tendulkar,4616.99,unequal_percentage,2,Udit Narayan|Kunal Khanna,"{'Udit Narayan': 1814.71, 'Kunal Khanna': 2802.28}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",5eb4e027-8682-4d02-a5d1-4637009b26a6,2026-01-10,Stage & Production,Stage & Production expense for fest operations,Dev Anand,8349.11,equal,9,Vishal Dadlani|Vandana Luthra|Udit Narayan|Qasim Ali|Vijaya Balan|Rahul Tiwari|Alka Yagnik|Varun Bansal|Bharti Gill,"{'Vishal Dadlani': 927.68, 'Vandana Luthra': 927.68, 'Udit Narayan': 927.68, 'Qasim Ali': 927.68, 'Vijaya Balan': 927.68, 'Rahul Tiwari': 927.68, 'Alka Yagnik': 927.68, 'Varun Bansal': 927.68, 'Bharti Gill': 927.68}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",5e4a4ac9-30d2-4371-a51e-fba684893b80,2026-01-14,Stage & Production,Printing & Merchandise expense for fest operations,Sonu Nigam,203.81,equal,4,Sachin Tendulkar|Yami Gautam|Adnan Sami|Balram Yadav,"{'Sachin Tendulkar': 50.95, 'Yami Gautam': 50.95, 'Adnan Sami': 50.95, 'Balram Yadav': 50.95}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",f60fd3e4-fa19-487e-96f6-8f791d1f4bcc,2026-01-12,Food & Catering,After Party expense for fest operations,Vandana Luthra,2562.44,equal,7,Kiara Advani|Ayaan Khan|Vishal Dadlani|Vandana Luthra|Aanya Singh|Kavita Krishnamurthy|Qasim Ali,"{'Kiara Advani': 366.06, 'Ayaan Khan': 366.06, 'Vishal Dadlani': 366.06, 'Vandana Luthra': 366.06, 'Aanya Singh': 366.06, 'Kavita Krishnamurthy': 366.06, 'Qasim Ali': 366.06}"
TechFusion 2026 - Inter College Fest,"Mumbai, India",bbdfc42d-70ce-4783-8ff2-2156e0b3faa1,2026-01-10,Marketing,After Party expense for fest operations,Varun Bansal,9288.87,equal,11,Meera Krishnan|Enrique D'Cruz|Pooja Bhattacharya|Balram Yadav|Myra Mehta|Lakshmi Nambiar|Aanya Singh|Ayaan Khan|Vandana Luthra|Pihu Verma|Urvashi Rautela,"{'Meera Krishnan': 844.44, ""Enrique D'Cruz"": 844.44, 'Pooja Bhattacharya': 844.44, 'Balram Yadav': 844.44, 'Myra Mehta': 844.44, 'Lakshmi Nambiar': 844.44, 'Aanya Singh': 844.44, 'Ayaan Khan': 844.44, 'Vandana Luthra': 844.44, 'Pihu Verma': 844.44, 'Urvashi Rautela': 844.44}"
